ein,name,position,year,org
85-0267696,KYLE ARMSTRONG,S VICE-PRESI,2018,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,FRANCISCO A OLVERA,SECRETARY- T,2018,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,CLAIRE CHASE,PAST PRESIDE,2018,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,MITCH KRAKAUSKAS,DIRECTOR,2018,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,JOHN ALEXANDER,DIRECTOR,2018,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,TOM MULLINS,DIRECTOR,2018,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,JOHN BRUNER,DIRECTOR,2018,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,WALTER GLASGOW,DIRECTOR,2018,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,JARED HEMBREE,DIRECTOR,2018,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,RON HILLMAN,DIRECTOR,2018,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,RANDALL HUDSON,DIRECTOR,2018,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,ED LAUER,DIRECTOR,2018,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,RORY MCMINN,DIRECTOR,2018,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,ROBERT G ARMSTRONG,DIRECTOR,2018,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,TUCKER BAYLESS,DIRECTOR,2018,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,RICHARD GILLILAND,DIRECTOR,2018,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,DAN GIRAND,DIRECTOR,2018,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,FRANK GORHAM,DIRECTOR,2018,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,TOM MULLINS,PAST PRESIDE,2017,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,CLAIRE CHASE,PRESIDENT,2017,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,JOHN THOMAS,NORTH VP,2017,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,GORDON GOODMAN,SOUTH VP,2017,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,FRANCISCO A OLVERA,SECRETARY- T,2017,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,MITCH KRAKAUSKAS,DIRECTOR,2017,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,JOHN ALEXANDER,DIRECTOR,2017,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,TOM BLAIR,DIRECTOR,2017,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,JOHN BRUNER,DIRECTOR,2017,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,RYAN DAVIS,DIRECTOR,2017,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,WALTER GLASGOW,DIRECTOR,2017,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,TIM GREEN,DIRECTOR,2017,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,JARED HEMBREE,DIRECTOR,2017,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,RON HILLMAN,DIRECTOR,2017,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,RANDALL HUDSON,DIRECTOR,2017,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,ED LAUER,DIRECTOR,2017,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,KNUTE H LEE JR,DIRECTOR,2017,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,RORY MCMINN,DIRECTOR,2017,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,ROBERT G ARMSTRONG,DIRECTOR,2017,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,TUCKER BAYLESS,DIRECTOR,2017,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,TOM MULLINS,PRESIDENT,2016,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,CLAIRE CHASE,SOUTH VP,2016,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,JOHN THOMPSON,NORTH VP,2016,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,FRANCISCO A OLVERA,SECRETARY- T,2016,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,MITCH KRAKAUSKAS,PAST PRESIDE,2016,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,JOHN ALEXANDER,DIRECTOR,2016,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,TOM BLAIR,DIRECTOR,2016,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,JOHN BRUNER,DIRECTOR,2016,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,RYAN DAVIS,DIRECTOR,2016,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,WALTER GLASGOW,DIRECTOR,2016,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,TIM GREEN,DIRECTOR,2016,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,JARED HEMBREE,DIRECTOR,2016,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,RON HILLMAN,DIRECTOR,2016,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,RANDALL HUDSON,DIRECTOR,2016,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,ED LAUER,DIRECTOR,2016,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,KNUTE H LEE JR,DIRECTOR,2016,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,RORY MCMINN,DIRECTOR,2016,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,ROBERT G ARMSTRONG,DIRECTOR,2016,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,TUCKER BAYLESS,DIRECTOR,2016,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,TOM DUGAN,DIRECTOR,2016,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,GLEN PAPP,PAST PRESIDE,2015,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,MITCH KRAKAUSKAS,PRESIDENT,2015,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,TOM MULLINS,NORTH VP,2015,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,CLAIRE CHASE,SOUTH VP,2015,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,FRANCISCO A OLVERA,SECRETARY- T,2015,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,RICHARD GILLILAND,DIRECTOR,2015,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,JOHN ALEXANDER,DIRECTOR,2015,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,TOM BLAIR,DIRECTOR,2015,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,RYAN DAVIS,DIRECTOR,2015,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,WALTER GLASGOW,DIRECTOR,2015,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,TIM GREEN,DIRECTOR,2015,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,JARED HEMBREE,DIRECTOR,2015,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,RON HILLMAN,DIRECTOR,2015,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,RANDALL HUDSON,DIRECTOR,2015,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,ED LAUER,DIRECTOR,2015,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,KNUTE H LEE JR,DIRECTOR,2015,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,RORY MCMINN,DIRECTOR,2015,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,ROBERT G ARMSTRONG,DIRECTOR,2015,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,TUCKER BAYLESS,DIRECTOR,2015,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,GARY BRINK,DIRECTOR,2015,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,GLEN PAPP,PRESIDENT,2014,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,MITCH KRAKAUSKAS,SOUTH VP,2014,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,TOM MULLINS,NORTH VP,2014,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,FRANCISCO A OLVERA,SECRETARY- T,2014,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,RICHARD GILLILAND,PAST PRESIDE,2014,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,JOHN ALEXANDER,DIRECTOR,2014,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,TOM BLAIR,DIRECTOR,2014,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,RYAN DAVIS,DIRECTOR,2014,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,TIM GREEN,DIRECTOR,2014,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,JARED HEMBREE,DIRECTOR,2014,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,RON HILLMAN,DIRECTOR,2014,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,RANDALL HUDSON,DIRECTOR,2014,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,ED LAUER,DIRECTOR,2014,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,KNUTE H LEE JR,DIRECTOR,2014,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,KEVIN LEONARD,DIRECTOR,2014,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,RORY MCMINN,DIRECTOR,2014,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,ART MERRICK,DIRECTOR,2014,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,ROBERT G ARMSTRONG,DIRECTOR,2014,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,TUCKER BAYLESS,DIRECTOR,2014,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,GARY BRINK,DIRECTOR,2014,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,ROBERT G ARMSTRONG,PAST PRESIDE,2013,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,JOHN THOMPSON,PAST PRESIDE,2013,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,GREG NIBERT,DIRECTOR,2013,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,FRANCISCO OLVERA,SECRETARY- T,2013,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,GARY BRINK,PAST PRESIDE,2013,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,JOHN ALEXANDER,DIRECTOR,2013,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,TOM BLAIR,DIRECTOR,2013,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,JOHN BYROM,DIRECTOR,2013,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,MITCH KRAKAUSKAS,SOUTH VP,2013,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,RICHARD GILLILAND,PRESIDENT,2013,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,DAN GIRAND,DIRECTOR,2013,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,TIM GREEN,DIRECTOR,2013,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,JEFF HARVARD,DIRECTOR,2013,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,RANDALL HUDSON,DIRECTOR,2013,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,KNUTE H LEE JR,DIRECTOR,2013,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,KEVIN LEONARD,DIRECTOR,2013,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,KEVIN MCCORD,DIRECTOR,2013,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,CHRISTIAN COMBS,DIRECTOR,2013,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,CHUCK MORAN,DIRECTOR,2013,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,MARK MURPHY,DIRECTOR,2013,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,ROBERT G ARMSTRONG,DIRECTOR,2012,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,JOHN THOMPSON,PAST PRESIDE,2012,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,GREG NIBERG,DIRECTOR,2012,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,FRANCISCO OLVERA,SECRETARY- T,2012,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,GARY BRINK,PRESIDENT,2012,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,JOHN ALEXANDER,DIRECTOR,2012,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,TOM BLAIR,DIRECTOR,2012,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,JOHN BYROM,DIRECTOR,2012,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,STEVE DUNN,DIRECTOR,2012,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,RICHARD GILLILAND,SOUTH VP,2012,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,DAN GIRAND,DIRECTOR,2012,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,TIM GREEN,DIRECTOR,2012,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,JEFF HARVARD,DIRECTOR,2012,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,RANDALL HUDSON,DIRECTOR,2012,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,KNUTE H LEE JR,DIRECTOR,2012,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,KEVIN LEONARD,DIRECTOR,2012,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,KEVIN MCCORD,DIRECTOR,2012,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,FRANK MCCREIGHT,DIRECTOR,2012,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,CHUCK MORAN,DIRECTOR,2012,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,MARK MURPHY,DIRECTOR,2012,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,ROBERT G ARMSTRONG,DIRECTOR,2011,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,JOHN THOMPSON,PAST PRESIDE,2011,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,GREG NIBERT,PRESIDENT,2011,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,FRANCISCO OLVERA,SECRETARY- T,2011,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,GARY BRINK,NORTH VP,2011,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,JOHN ALEXANDER,DIRECTOR,2011,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,TOM BLAIR,DIRECTOR,2011,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,JOHN BYROM,DIRECTOR,2011,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,STEVE DUNN,DIRECTOR,2011,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,RICHARD GILLILAND,SOUTH VP,2011,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,DAN GIRAND,DIRECTOR,2011,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,TIM GREEN,DIRECTOR,2011,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,JEFF HARVARD,DIRECTOR,2011,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,RANDALL HUDSON,DIRECTOR,2011,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,KNUTE H LEE JR,DIRECTOR,2011,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,KEVIN LEONARD,DIRECTOR,2011,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,KEVIN MCCORD,DIRECTOR,2011,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,ROBERT G ARMSTRONG,DIRECTOR,2011,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,JOHN THOMPSON,PAST PRESIDE,2011,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,GREG NIBERT,PRESIDENT,2011,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,ROBERT G ARMSTRONG,PAST PRESIDENT,2010,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,JOHN THOMPSON,PRESIDENT,2010,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,GREG NIBERT,SOUTH VP,2010,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,FRANCISCO OLVERA,SECRETARY- TREASURER,2010,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,GARY BRINK,NORTH VP,2010,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,JOHN ALEXANDER,DIRECTOR,2010,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,TOM BLAIR,DIRECTOR,2010,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,JOHN BYROM,DIRECTOR,2010,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,STEVE DUNN,DIRECTOR,2010,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,RICHARD GILLILAND,DIRECTOR,2010,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,DAN GIRAND,DIRECTOR,2010,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,TIM GREEN,DIRECTOR,2010,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,JEFF HARVARD,DIRECTOR,2010,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,RANDALL HUDSON,DIRECTOR,2010,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,KNUTE H LEE JR,DIRECTOR,2010,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,KEVIN LEONARD,DIRECTOR,2010,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,KEVIN MCCORD,DIRECTOR,2010,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,FRANK MCCREIGHT,DIRECTOR,2010,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,CHUCK MO RAN,DIRECTOR,2010,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
85-0267696,MARK MURPHY,DIRECTOR,2010,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO
53-0045720,Thomas J Donohue,Pres & CEO/Director,2018,CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA
53-0045720,Agnes Warfield-Blanc,"EVP, Dev and Fund",2018,CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA
53-0045720,Suzanne P Clark,Sr Exec VP,2018,CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA
53-0045720,Myron Brilliant,EVP & Head Intl,2018,CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA
53-0045720,Justin Waller,"CMO & SVP, Ops",2018,CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA
53-0045720,Lily Fu Claffee,"SVP, Gnl Cnsl/CLO & Secry",2018,CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA
53-0045720,Stan M Harrell,SVP & CFO,2018,CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA
53-0045720,John Wood,"SVP, Gnl Cnsl/CLO & Secry",2018,CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA
53-0045720,Greg Lebedev,Director/Consultant,2018,CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA
53-0045720,Andrew Abboud,Director,2018,CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA
53-0045720,Robert O Agbede,Director,2018,CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA
53-0045720,Harry C Alford,Director,2018,CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA
53-0045720,Anthony J Allott,Director,2018,CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA
53-0045720,Stewart Alvarez,Director,2018,CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA
53-0045720,Scott Anderson,Director,2018,CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA
53-0045720,Lee R Anderson Sr,Director,2018,CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA
53-0045720,John W Bachmann,Director,2018,CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA
53-0045720,Richard H Bagger,Director,2018,CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA
53-0045720,Arnold Baker,Director,2018,CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA
53-0045720,Gene Barr,Director,2018,CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA
53-0045720,Thomas J Donohue,Pres & CEO/Director,2017,CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA
53-0045720,Agnes Warfield-Blanc,"SVP, Dev and Fund",2017,CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA
53-0045720,Shannon D DiBari,Chief Operating Officer,2017,CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA
53-0045720,Suzanne P Clark,Sr Exec VP,2017,CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA
53-0045720,Myron Brilliant,EVP & Head Intl,2017,CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA
53-0045720,Lily Fu Claffee,"SVP, Gnl Cnsl/CLO & Secry",2017,CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA
53-0045720,Stan M Harrell,"SVP, CFO & CIO",2017,CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA
53-0045720,Greg Lebedev,Director/Consultant,2017,CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA
53-0045720,Justin Waller,"CMO & SVP, Ops",2017,CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA
53-0045720,Andrew Abboud,Director,2017,CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA
53-0045720,Robert O Agbede,Director,2017,CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA
53-0045720,Harry C Alford,Director,2017,CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA
53-0045720,Anthony J Allott,Director,2017,CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA
53-0045720,Stewart Alvarez,Director,2017,CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA
53-0045720,Scott Anderson,Director,2017,CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA
53-0045720,Lee R Anderson Sr,Director,2017,CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA
53-0045720,John W Bachmann,Director,2017,CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA
53-0045720,Richard H Bagger,Director,2017,CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA
53-0045720,Arnold Baker,Director,2017,CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA
53-0045720,Gene Barr,Director,2017,CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA
53-0045720,Thomas J Donohue,Pres & CEO/Director,2016,CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA
53-0045720,Agnes Warfield-Blanc,"SVP, Dev and Fund",2016,CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA
53-0045720,Robert B Josten,"EVP, Govt Affairs",2016,CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA
53-0045720,Myron Brilliant,EVP & Head Intl,2016,CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA
53-0045720,Suzanne P Clark,Sr Exec VP,2016,CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA
53-0045720,Lily Fu Claffee,"SVP, Gnl Cnsl/CLO & Secry",2016,CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA
53-0045720,Shannon D DiBari,Chief Operating Officer,2016,CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA
53-0045720,Stan M Harrell,"SVP, CFO & CIO",2016,CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA
53-0045720,Robert J Engstrom,SVP Pol Affrs & Fed Rel,2016,CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA
